source_index,target_index,distance_m,duration_s,waycategory
"[-75.1948313, 40.0515325]","[-75.1670679, 39.9458843]",15958.9,1597.1,"[[0, 304, 0]]"
"[-75.1948313, 40.0515325]","[-75.1552838, 39.9513696]",15048.2,1485.1,"[[0, 287, 0]]"
"[-75.1948313, 40.0515325]","[-75.1779185, 39.9527664]",15966.5,1402.5,"[[0, 122, 0], [122, 263, 1], [263, 276, 0]]"
"[-75.1948313, 40.0515325]","[-75.1797862, 39.9531685]",16135.9,1438.5,"[[0, 122, 0], [122, 256, 1], [256, 280, 0]]"
"[-75.1948313, 40.0515325]","[-75.1544702, 39.9614844]",13808.9,1321.1,"[[0, 253, 0]]"
"[-75.1948313, 40.0515325]","[-75.1655897, 39.9673357]",13270.8,1257.3,"[[0, 233, 0]]"
"[-75.1948313, 40.0515325]","[-75.16608, 39.9510606]",17030.9,1510.0,"[[0, 122, 0], [122, 263, 1], [263, 289, 0]]"
"[-75.1948313, 40.0515325]","[-75.1664209, 39.9503433]",15434.0,1525.3,"[[0, 292, 0]]"
"[-75.1948313, 40.0515325]","[-75.1561177, 39.9487839]",15573.5,1576.0,"[[0, 308, 0]]"
"[-75.1948313, 40.0515325]","[-75.1595695, 39.950964]",14811.8,1447.6,"[[0, 285, 0]]"
"[-75.1948313, 40.0515325]","[-75.1498611, 39.9520642]",13254.1,1455.0,"[[0, 262, 0]]"
"[-75.1958043, 40.0572238]","[-75.1666744, 39.9529142]",15344.1,1511.8,"[[0, 284, 0]]"
"[-75.1958043, 40.0572238]","[-75.1547527, 39.9461843]",15008.1,1561.6,"[[0, 307, 0]]"
"[-75.1958043, 40.0572238]","[-75.1588087, 39.9519519]",14535.1,1428.7,"[[0, 273, 0]]"
"[-75.1958043, 40.0572238]","[-75.1555507, 39.9554634]",14133.7,1387.6,"[[0, 265, 0]]"
"[-75.1958043, 40.0572238]","[-75.1683452, 39.953861]",15090.2,1477.6,"[[0, 280, 0]]"
"[-75.1958043, 40.0572238]","[-75.1524421, 39.9486116]",14563.6,1500.1,"[[0, 297, 0]]"
"[-75.1958043, 40.0572238]","[-75.1696579, 39.9671376]",12690.0,1270.4,"[[0, 217, 0]]"
"[-75.1958043, 40.0572238]","[-75.1687489, 39.9511026]",16630.7,1483.7,"[[0, 114, 0], [114, 255, 1], [255, 280, 0]]"
"[-75.1958043, 40.0572238]","[-75.1513737, 39.9499548]",14378.0,1459.1,"[[0, 295, 0]]"
"[-75.1958043, 40.0572238]","[-75.1658471, 39.9513517]",15060.2,1490.1,"[[0, 281, 0]]"
"[-75.1958043, 40.0572238]","[-75.1808705, 39.9496709]",16473.5,1513.4,"[[0, 114, 0], [114, 255, 1], [255, 283, 0]]"
"[-75.1958043, 40.0572238]","[-75.16993, 39.954012]",16375.5,1485.7,"[[0, 114, 0], [114, 255, 1], [255, 275, 0]]"
"[-75.1958043, 40.0572238]","[-75.1689145, 39.9534406]",16373.0,1489.6,"[[0, 114, 0], [114, 255, 1], [255, 276, 0]]"
"[-75.1958043, 40.0572238]","[-75.1621446, 39.9565208]",14362.1,1407.5,"[[0, 268, 0]]"
"[-75.1958043, 40.0572238]","[-75.1562587, 39.9526803]",14621.3,1449.7,"[[0, 275, 0]]"
"[-75.1958043, 40.0572238]","[-75.160496, 39.9495792]",14708.5,1458.2,"[[0, 279, 0]]"
"[-75.1958043, 40.0572238]","[-75.1596329, 39.9559719]",14089.4,1381.7,"[[0, 265, 0]]"
"[-75.1958043, 40.0572238]","[-75.1543343, 39.9547207]",14447.4,1442.4,"[[0, 270, 0]]"
"[-75.1958043, 40.0572238]","[-75.1512021, 39.9477973]",14530.7,1477.7,"[[0, 298, 0]]"
"[-75.1958043, 40.0572238]","[-75.1712732, 39.953202]",16181.4,1459.8,"[[0, 114, 0], [114, 255, 1], [255, 272, 0]]"
"[-75.1958043, 40.0572238]","[-75.1646384, 39.9505969]",15177.4,1504.8,"[[0, 282, 0]]"
"[-75.1958043, 40.0572238]","[-75.1553822, 39.9564976]",14495.2,1456.1,"[[0, 271, 0]]"
"[-75.1958043, 40.0572238]","[-75.1521691, 39.9498503]",14637.7,1508.5,"[[0, 301, 0]]"
"[-75.1958043, 40.0572238]","[-75.1655738, 39.9548474]",14751.5,1434.9,"[[0, 269, 0]]"
"[-75.1958043, 40.0572238]","[-75.1462398, 39.9534007]",14189.7,1437.5,"[[0, 299, 0]]"
"[-75.1958043, 40.0572238]","[-75.1669977, 39.9542162]",15116.9,1488.5,"[[0, 278, 0]]"
"[-75.1958043, 40.0572238]","[-75.1659027, 39.9549769]",14791.4,1444.5,"[[0, 270, 0]]"
"[-75.1958043, 40.0572238]","[-75.1691875, 39.9538357]",15150.6,1487.2,"[[0, 282, 0]]"
"[-75.1958043, 40.0572238]","[-75.168648, 39.9552849]",15023.3,1472.2,"[[0, 276, 0]]"
"[-75.1958043, 40.0572238]","[-75.1686976, 39.9550004]",15022.5,1472.1,"[[0, 276, 0]]"
