source_index,target_index,distance_m,duration_s,waycategory
"[-75.3077155, 39.950771]","[-75.1555507, 39.9554634]",15513.8,1472.7,"[[0, 225, 0], [225, 294, 1], [294, 318, 0]]"
"[-75.3077155, 39.950771]","[-75.1683452, 39.953861]",13256.0,1437.5,"[[0, 305, 0]]"
"[-75.3077155, 39.950771]","[-75.1524421, 39.9486116]",14286.4,1593.2,"[[0, 312, 0]]"
"[-75.3077155, 39.950771]","[-75.1696579, 39.9671376]",14526.1,1376.4,"[[0, 294, 0]]"
"[-75.3077155, 39.950771]","[-75.1687489, 39.9511026]",12713.9,1368.8,"[[0, 294, 0]]"
"[-75.3077155, 39.950771]","[-75.1513737, 39.9499548]",14228.2,1559.8,"[[0, 312, 0]]"
"[-75.3077155, 39.950771]","[-75.1658471, 39.9513517]",13264.3,1452.6,"[[0, 310, 0]]"
"[-75.3077155, 39.950771]","[-75.1808705, 39.9496709]",12569.0,1350.4,"[[0, 242, 0]]"
"[-75.3077155, 39.950771]","[-75.16993, 39.954012]",12799.8,1375.9,"[[0, 298, 0]]"
"[-75.3077155, 39.950771]","[-75.1689145, 39.9534406]",12797.3,1379.8,"[[0, 299, 0]]"
"[-75.3077155, 39.950771]","[-75.1621446, 39.9565208]",15011.6,1437.7,"[[0, 225, 0], [225, 294, 1], [294, 306, 0]]"
"[-75.3077155, 39.950771]","[-75.1562587, 39.9526803]",15830.1,1534.3,"[[0, 225, 0], [225, 294, 1], [294, 323, 0]]"
"[-75.3077155, 39.950771]","[-75.160496, 39.9495792]",13508.4,1477.5,"[[0, 303, 0]]"
"[-75.3077155, 39.950771]","[-75.1596329, 39.9559719]",15161.1,1438.4,"[[0, 225, 0], [225, 294, 1], [294, 310, 0]]"
